time,price
0,100.866
10,100.056
20,101.382
30,102.409
40,104.372
50,106.838
60,109.475
70,111.26
80,112.435
90,112.104
100,111.348
110,111.487
120,110.695
130,108.805
140,109.06
150,108.162
160,106.856
170,105.066
180,104.759
190,106.669
200,109.685
210,109.733
220,110.299
230,112.893
240,112.597
250,110.278
260,104.939
270,103.654
280,101.478
290,102.952
300,105.923
310,103.886
320,104.989
330,101.744
340,102.91
350,102.602
360,103.567
370,105.919
380,106.011
390,107.973
400,105.961
410,109.597
420,106.346
430,107.066
440,107.003
450,110.679
460,114.163
470,116.644
480,116.842
490,114.446
500,115.172
510,117.319
520,119.259
530,117.197
540,114.511
550,110.147
560,109.749
570,111.738
580,112.309
590,114.451
600,117.263
610,118.618
620,116.469
630,114.154
640,116.397
650,119.787
660,119.935
670,118.647
680,115.452
690,117.778
700,118.257
710,120.727
720,119.249
730,112.968
740,112.827
750,112.134
760,111.68
770,107.272
780,103.535
790,106.755
800,106.278
810,105.697
820,105.368
830,108.068
840,108.446
850,111.251
860,110.755
870,109.651
880,111.779
890,109.66
900,109.963
910,108.693
920,107.837
930,105.437
940,107.764
950,108.392
960,108.553
970,108.705
980,111.391
990,112.001
1000,112.94
1010,114.841
1020,115.218
1030,116.476
1040,115.913
1050,118.351
1060,117.837
1070,118.669
1080,121.98
1090,117.955
1100,117.888
1110,116.828
1120,112.918
1130,115.09
1140,114.979
1150,118.079
1160,119.395
1170,117.725
1180,116.949
1190,118.683
1200,120.015
1210,118.506
1220,116.61
1230,114.507
1240,112.392
1250,111.842
1260,116.781
1270,116.023
1280,114.7
1290,112.172
1300,109.811
1310,106.457
1320,105.401
1330,109.459
1340,108.579
1350,107.839
1360,104.089
1370,105.973
1380,106.255
1390,108.188
1400,108.22
1410,105.903
1420,106.615
1430,106.081
1440,109.963
1450,107.332
1460,105.099
1470,105.85
1480,103.866
1490,103.073
1500,101.515
1510,102.279
1520,104.896
1530,107.657
1540,109.585
1550,108.385
1560,111.153
1570,114.184
1580,115.893
1590,117.193
1600,117.184
1610,111.945
1620,110.581
1630,109.451
1640,110.028
1650,111.674
1660,110.499
1670,110.997
1680,109.672
1690,112.848
1700,112.519
1710,113.112
1720,116.368
1730,117.639
1740,118.954
1750,116.485
1760,116.902
1770,116.565
1780,115.083
1790,116.649
1800,116.38
1810,114.881
1820,113.562
1830,114.351
1840,112.767
1850,115.1
1860,111.282
1870,112.244
1880,109.722
1890,113.116
1900,113.991
1910,114.896
1920,117.922
1930,113.588
1940,115.721
1950,116.945
1960,115.776
1970,116.85
1980,113.003
1990,113.809
2000,115.245
2010,114.981
2020,114.663
2030,114.786
2040,117.416
2050,115.111
2060,118.149
2070,115.914
2080,120.091
2090,120.131
2100,120.89
2110,122.523
2120,118.934
2130,117.927
2140,118.616
2150,120.152
2160,118.261
2170,119.063
2180,115.47
2190,113.23
2200,111.612
2210,108.622
2220,107.957
2230,110.321
2240,110.086
2250,113.508
2260,116.389
2270,115.005
2280,112.601
2290,112.432
2300,111.482
2310,111.605
2320,112.941
2330,114
2340,113.396
2350,115.605
2360,114.496
2370,117.67
2380,113.4
2390,114.799
2400,109.914
2410,110.287
2420,112.429
2430,109.954
2440,109.426
2450,109.653
2460,108.159
2470,106.167
2480,106.32
2490,103.938
2500,105.242
2510,103.393
2520,101.788
2530,102.946
2540,100.857
2550,103.88
2560,102.061
2570,100.971
2580,102.638
2590,100.165
2600,101.208
2610,101.038
2620,99.9376
2630,98.1699
2640,99.7483
2650,99.378
2660,101.323
2670,103.775
2680,105.848
2690,103.581
2700,104.116
2710,105.193
2720,105.561
2730,101.916
2740,100.771
2750,100.881
2760,101.657
2770,104.179
2780,108.725
2790,106.891
2800,105.393
2810,103.889
2820,104.033
2830,104.236
2840,107.476
2850,109.656
2860,108.813
2870,106.448
2880,105.971
2890,101.409
2900,101.364
2910,102.05
2920,102.234
2930,99.4162
2940,96.7269
2950,95.2233
2960,92.5485
2970,93.8903
2980,94.6157
2990,95.85
3000,94.5055
3010,94.0695
3020,90.2572
3030,88.3169
3040,88.6051
3050,88.3189
3060,87.8006
3070,90.4725
3080,87.841
3090,90.958
3100,89.4181
3110,88.116
3120,86.9339
3130,87.1738
3140,86.5028
3150,84.2437
3160,85.2031
3170,85.3595
3180,84.3735
3190,86.6344
3200,85.8844
3210,86.194
3220,85.0817
3230,85.3822
3240,84.7366
3250,83.5148
3260,81.8996
3270,82.0729
3280,80.8021
3290,82.4598
3300,81.83
3310,82.6167
3320,82.5221
3330,86.2948
3340,85.833
3350,82.8167
3360,81.1061
3370,81.9409
3380,83.4058
3390,86.3054
3400,85.2365
3410,86.0919
3420,86.1651
3430,84.7347
3440,86.3543
3450,84.8321
3460,82.0257
3470,81.4043
3480,83.1699
3490,85.1073
3500,83.2944
3510,81.4333
3520,83.1204
3530,80.1106
3540,81.6679
3550,79.6887
3560,80.6385
3570,78.5445
3580,79.1531
3590,80.4643
3600,80.1629
3610,80.4234
3620,82.0407
3630,81.8488
3640,80.6645
3650,79.398
3660,78.2507
3670,78.8057
3680,78.8205
3690,78.0835
3700,77.0897
3710,76.238
3720,76.3291
3730,76.8775
3740,77.1115
3750,78.374
3760,76.8065
3770,76.1983
3780,74.4111
3790,74.757
3800,76.3587
3810,75.999
3820,78.0887
3830,76.3165
3840,76.6127
3850,76.9872
3860,79.6838
3870,78.438
3880,78.0887
3890,79.2497
3900,77.1037
3910,78.1524
3920,77.9337
3930,78.58
3940,80.282
3950,80.6543
3960,81.7773
3970,85.1744
3980,83.5751
3990,85.4468
4000,84.871
4010,86.4904
4020,89.0251
4030,89.1534
4040,89.8156
4050,88.8239
4060,89.6303
4070,89.1314
4080,86.9686
4090,89.7098
4100,91.2365
4110,91.2981
4120,88.269
4130,90.8891
4140,90.643
4150,89.2205
4160,87.7161
4170,87.3914
4180,87.7623
4190,85.7991
4200,86.6092
4210,88.1263
4220,90.2119
4230,89.9067
4240,91.7335
4250,91.0838
4260,91.3639
4270,88.0663
4280,90.5056
4290,92.4521
4300,92.4772
4310,93.4091
4320,94.3053
